Start Time (UTC), Stop Time (UTC)
2014-07-04T16:43:58.596511 UTC, 2014-07-04T17:17:58.596511 UTC
2014-07-04T18:20:35.961215 UTC, 2014-07-04T18:54:34.961215 UTC
2014-07-04T19:57:11.961215 UTC, 2014-07-04T20:31:11.961215 UTC
2014-07-04T21:33:48.961215 UTC, 2014-07-04T22:07:47.961215 UTC
2014-07-04T23:10:25.961215 UTC, 2014-07-04T23:44:24.961215 UTC
2014-07-05T00:47:01.961215 UTC, 2014-07-05T01:21:00.961215 UTC
2014-07-05T02:23:38.272352 UTC, 2014-07-05T02:57:37.272352 UTC
2014-07-05T04:00:15.272352 UTC, 2014-07-05T04:34:14.272352 UTC
2014-07-05T05:36:51.272352 UTC, 2014-07-05T06:10:50.272352 UTC
2014-07-05T07:13:28.272352 UTC, 2014-07-05T07:47:27.272352 UTC
2014-07-05T08:50:04.272352 UTC, 2014-07-05T09:24:03.272352 UTC
2014-07-05T10:26:41.602495 UTC, 2014-07-05T11:00:40.602495 UTC
2014-07-05T12:03:17.602495 UTC, 2014-07-05T12:37:16.602495 UTC
2014-07-05T13:39:54.602495 UTC, 2014-07-05T14:13:53.602495 UTC
2014-07-05T15:16:30.602495 UTC, 2014-07-05T15:50:29.602495 UTC
2014-07-05T16:53:07.602495 UTC, 2014-07-05T17:27:06.602495 UTC
2014-07-05T18:29:43.829824 UTC, 2014-07-05T19:03:42.829824 UTC
2014-07-05T20:06:20.829824 UTC, 2014-07-05T20:40:19.829824 UTC
2014-07-05T21:42:57.829824 UTC, 2014-07-05T22:16:56.829824 UTC
2014-07-05T23:19:33.829824 UTC, 2014-07-05T23:53:32.829824 UTC
2014-07-06T00:56:10.829824 UTC, 2014-07-06T01:30:08.829824 UTC
2014-07-06T02:32:47.054560 UTC, 2014-07-06T03:06:46.054560 UTC
2014-07-06T04:09:23.054560 UTC, 2014-07-06T04:43:22.054560 UTC
2014-07-06T05:46:00.054560 UTC, 2014-07-06T06:19:59.054560 UTC
2014-07-06T07:22:36.054560 UTC, 2014-07-06T07:56:35.054560 UTC
2014-07-06T08:59:13.054560 UTC, 2014-07-06T09:33:12.054560 UTC
2014-07-06T10:35:49.298303 UTC, 2014-07-06T11:09:48.298303 UTC
2014-07-06T12:12:26.298303 UTC, 2014-07-06T12:46:24.298303 UTC
2014-07-06T13:49:02.298303 UTC, 2014-07-06T14:23:01.298303 UTC
2014-07-06T15:25:39.298303 UTC, 2014-07-06T15:59:38.298303 UTC
2014-07-06T17:02:15.298303 UTC, 2014-07-06T17:36:14.298303 UTC
2014-07-06T18:38:52.510080 UTC, 2014-07-06T19:12:51.510080 UTC
2014-07-06T20:15:29.510080 UTC, 2014-07-06T20:49:27.510080 UTC
2014-07-06T21:52:05.510080 UTC, 2014-07-06T22:26:04.510080 UTC
2014-07-06T23:28:42.510080 UTC, 2014-07-07T00:02:40.510080 UTC
2014-07-07T01:05:18.510080 UTC, 2014-07-07T01:39:17.510080 UTC
2014-07-07T02:41:54.665695 UTC, 2014-07-07T03:15:53.665695 UTC
2014-07-07T04:18:31.665695 UTC, 2014-07-07T04:52:29.665695 UTC
2014-07-07T05:55:07.665695 UTC, 2014-07-07T06:29:06.665695 UTC
2014-07-07T07:31:44.665695 UTC, 2014-07-07T08:05:42.665695 UTC
2014-07-07T09:08:20.665695 UTC, 2014-07-07T09:42:19.665695 UTC
2014-07-07T10:44:57.858464 UTC, 2014-07-07T11:18:55.858464 UTC
2014-07-07T12:21:33.858464 UTC, 2014-07-07T12:55:32.858464 UTC
2014-07-07T13:58:10.858464 UTC, 2014-07-07T14:32:08.858464 UTC
2014-07-07T15:34:46.858464 UTC, 2014-07-07T16:08:45.858464 UTC
2014-07-07T17:11:23.858464 UTC, 2014-07-07T17:45:21.858464 UTC
2014-07-07T18:48:00.086655 UTC, 2014-07-07T19:21:59.086655 UTC
2014-07-07T20:24:37.086655 UTC, 2014-07-07T20:58:35.086655 UTC
2014-07-07T22:01:13.086655 UTC, 2014-07-07T22:35:12.086655 UTC
2014-07-07T23:37:50.086655 UTC, 2014-07-08T00:11:48.086655 UTC
2014-07-08T01:14:26.086655 UTC, 2014-07-08T01:48:24.086655 UTC
2014-07-08T02:51:03.210303 UTC, 2014-07-08T03:25:01.210303 UTC
2014-07-08T04:27:39.210303 UTC, 2014-07-08T05:01:37.210303 UTC
2014-07-08T06:04:16.210303 UTC, 2014-07-08T06:38:14.210303 UTC
2014-07-08T07:40:52.210303 UTC, 2014-07-08T08:14:50.210303 UTC
2014-07-08T09:17:28.210303 UTC, 2014-07-08T09:51:26.210303 UTC
2014-07-08T10:54:05.349503 UTC, 2014-07-08T11:28:03.349503 UTC
2014-07-08T12:30:41.349503 UTC, 2014-07-08T13:04:39.349503 UTC
2014-07-08T14:07:18.349503 UTC, 2014-07-08T14:41:16.349503 UTC
2014-07-08T15:43:54.349503 UTC, 2014-07-08T16:17:52.349503 UTC
2014-07-08T17:20:31.349503 UTC, 2014-07-08T17:54:29.349503 UTC
2014-07-08T18:57:07.501664 UTC, 2014-07-08T19:31:05.501664 UTC
2014-07-08T20:33:44.501664 UTC, 2014-07-08T21:07:42.501664 UTC
2014-07-08T22:10:21.501664 UTC, 2014-07-08T22:44:18.501664 UTC
2014-07-08T23:46:57.501664 UTC, 2014-07-09T00:20:55.501664 UTC
2014-07-09T01:23:33.501664 UTC, 2014-07-09T01:57:31.501664 UTC
2014-07-09T03:00:10.594208 UTC, 2014-07-09T03:34:08.594208 UTC
2014-07-09T04:36:46.594208 UTC, 2014-07-09T05:10:44.594208 UTC
2014-07-09T06:13:23.594208 UTC, 2014-07-09T06:47:21.594208 UTC
2014-07-09T07:49:59.594208 UTC, 2014-07-09T08:23:57.594208 UTC
2014-07-09T09:26:35.594208 UTC, 2014-07-09T10:00:33.594208 UTC
2014-07-09T11:03:12.678112 UTC, 2014-07-09T11:37:10.678112 UTC
2014-07-09T12:39:48.678112 UTC, 2014-07-09T13:13:46.678112 UTC
2014-07-09T14:16:25.678112 UTC, 2014-07-09T14:50:23.678112 UTC
2014-07-09T15:53:01.678112 UTC, 2014-07-09T16:26:59.678112 UTC
2014-07-09T17:29:38.678112 UTC, 2014-07-09T18:03:36.678112 UTC
2014-07-09T19:06:14.803487 UTC, 2014-07-09T19:40:12.803487 UTC
2014-07-09T20:42:51.803487 UTC, 2014-07-09T21:16:49.803487 UTC
2014-07-09T22:19:27.803487 UTC, 2014-07-09T22:53:25.803487 UTC
2014-07-09T23:56:04.803487 UTC, 2014-07-10T00:30:01.803487 UTC
2014-07-10T01:32:40.803487 UTC, 2014-07-10T02:06:38.803487 UTC
2014-07-10T03:09:17.823456 UTC, 2014-07-10T03:43:14.823456 UTC
2014-07-10T04:45:53.823456 UTC, 2014-07-10T05:19:51.823456 UTC
2014-07-10T06:22:30.823456 UTC, 2014-07-10T06:56:27.823456 UTC
2014-07-10T07:59:06.823456 UTC, 2014-07-10T08:33:03.823456 UTC
2014-07-10T09:35:42.823456 UTC, 2014-07-10T10:09:40.823456 UTC
2014-07-10T11:12:19.815775 UTC, 2014-07-10T11:46:16.815775 UTC
2014-07-10T12:48:55.815775 UTC, 2014-07-10T13:22:53.815775 UTC
2014-07-10T14:25:32.815775 UTC, 2014-07-10T14:59:29.815775 UTC
2014-07-10T16:02:08.815775 UTC, 2014-07-10T16:36:06.815775 UTC
2014-07-10T17:38:45.815775 UTC, 2014-07-10T18:12:42.815775 UTC
2014-07-10T19:15:21.861663 UTC, 2014-07-10T19:49:19.861663 UTC
2014-07-10T20:51:58.861663 UTC, 2014-07-10T21:25:55.861663 UTC
2014-07-10T22:28:34.861663 UTC, 2014-07-10T23:02:31.861663 UTC
2014-07-11T00:05:11.861663 UTC, 2014-07-11T00:39:08.861663 UTC
2014-07-11T01:41:47.197632 UTC, 2014-07-11T02:15:45.197632 UTC
2014-07-11T03:18:24.197632 UTC, 2014-07-11T03:52:21.197632 UTC
2014-07-11T04:55:00.197632 UTC, 2014-07-11T05:28:57.197632 UTC
